曲目ID,中文名称,EnglishTitle,专辑名称,曲目序号,音频文件名,身份定位,神学主题,属灵气质,传统用途,适合文章类型,不适合文章类型,一句话总评,来源链接,来源说明
A1-11,主必看顾,Does Jesus Care?,主是磐石 Unshakable Faith,11,,苦难中确认基督眷顾的安慰圣诗，回答主是否顾念人的眼泪。,基督怜悯；患难安慰；主的眷顾；信心确据,低回；温柔；受安慰；有盼望,病中探访；苦难文章；追思安慰；牧养陪伴,文章处理痛苦、孤单、失落、忧伤，并最终指向主真实的怜悯和同在。,主要是喜乐赞美、宣教动员、严肃责备或节期庆典的文章。,核心是确认基督顾念人的痛苦，适合牧养安慰性文章。,https://hymnary.org/search?qu=Does%20Jesus%20Care | https://hymntime.com/tch/htm/d/o/e/s/doesjesc.htm,参考 Hymnary 检索与 HymnTime/Cyber Hymnal；Frank E. Graeff / J. Lincoln Hall 苦难安慰圣诗。
A1-12,主领我们前行,God Leads Us Along,主是磐石 Unshakable Faith,12,,神在不同境遇中引导信徒的护理圣诗。,神的带领；旷野与丰盛；信靠顺服；护理,安稳；叙事性；信靠；受安慰,人生道路反思；苦乐交替中的信靠；见证；灵修默想,文章强调神带领人经过高山低谷、顺境逆境，并在各样处境中供应。,主要落点是悔改呼召、十字架受难默想、宣教凯歌或圣诞叙事的文章。,适合表达神在复杂人生道路中亲自带领和供应。,https://hymnary.org/search?qu=God%20Leads%20Us%20Along | https://hymntime.com/tch/htm/g/o/d/l/godleads.htm,参考 Hymnary 检索与 HymnTime/Cyber Hymnal；George A. Young 神带领与护理主题圣诗。
A1-13,祂既看顾麻雀,His Eye Is on the Sparrow,主是磐石 Unshakable Faith,13,,神细致看顾与儿女身份安慰圣诗，强调天父连微小生命也眷顾。,天父看顾；儿女确据；忧虑中的信靠；神的怜悯,温柔；明亮；安慰；信靠,忧虑安慰；个人见证；病痛或孤单陪伴；神护理主题,文章引导读者在忧虑、被忽略感或软弱中相信天父细致看顾。,主要是沉重认罪、属灵争战、主餐肃穆或末世警醒的文章。,这首曲子适合承托天父看顾和信徒不被遗忘的主题。,https://hymnary.org/search?qu=His%20Eye%20Is%20on%20the%20Sparrow | https://hymntime.com/tch/htm/h/i/s/e/hiseyeis.htm,参考 Hymnary 检索与 HymnTime/Cyber Hymnal；Civilla D. Martin / Charles H. Gabriel，天父看顾主题。
A1-14,如鹿切慕溪水,As the Deer,主是磐石 Unshakable Faith,14,,渴慕神与亲近主的灵修圣诗，源于诗篇式的心灵渴慕意象。,渴慕神；亲近主；敬拜；以主为满足,安静；清澈；渴慕；亲密,灵修默想；敬拜回应；退修；个人祷告,文章强调心灵干渴、重新寻求神、以主为满足、从外在事务回到亲近主。,主要落点是严厉警戒、宣教动员、十字架受难或节期庆典的文章。,核心是渴慕并亲近神，适合安静灵修和敬拜回应。,https://hymnary.org/search?qu=As%20the%20Deer | https://songselect.ccli.com/search/results?List=As%20the%20Deer,现代敬拜曲来源以 CCLI/SongSelect 与 Hymnary 检索复核；通常与 Martin Nystrom 诗篇42式渴慕主题相关。
A1-15,祷祈良辰,Sweet Hour of Prayer,主是磐石 Unshakable Faith,15,,祷告生活圣诗，强调祷告作为信徒卸下重担、亲近神的蒙恩途径。,祷告；亲近神；交托；等候,安静；亲密；恳切；退修感,祷告会；灵修操练；退修；讲祷告生活的文章,文章真正落点是恢复祷告生活、在祷告中亲近神并交托重担。,文章只是偶然提到祷告，实际落点在宣教、悔改、主餐或复活得胜时不宜机械选用。,只有当文章核心确实是祷告生活时才最贴切。,https://hymnary.org/search?qu=Sweet%20Hour%20of%20Prayer | https://hymntime.com/tch/htm/s/w/e/e/sweethop.htm,参考 Hymnary 检索与 HymnTime/Cyber Hymnal；William W. Walford / William B. Bradbury 祷告生活圣诗。
A1-16,主祷文,Lord's Prayer,主是磐石 Unshakable Faith,16,,主耶稣所教祷告的礼仪与灵修性圣乐，承载天国、供应、赦免与顺服主题。,主祷文；神国；顺服神旨意；赦免；日用供应,庄重；敬虔；祈求；礼仪性,崇拜祷告；祷告主题；教会生活；敬虔操练,文章围绕主祷文、神国、天父旨意、赦免与祷告秩序展开。,一般个人情绪安慰、福音呼召、宣教争战或圣诞主题文章。,适合明确祷告神学或主祷文主题，不宜只因文章出现祷告二字就使用。,https://hymnary.org/search?qu=The%20Lord%27s%20Prayer | https://songselect.ccli.com/search/results?List=The%20Lord%27s%20Prayer,主祷文文本直接来自马太福音6章/路加福音11章；具体钢琴版本需按曲库文件名确认是否为 Malotte 或其他谱曲。
A1-17,主是磐石,Unshakable Faith,主是磐石 Unshakable Faith,17,,信靠神为稳固根基的信心圣乐，突出患难中不可摇动的依靠。,神是磐石；信心稳固；患难中的依靠；神的信实,坚定；安稳；敬畏；有力量,信心坚固；苦难中站立；属灵根基；主日回应,文章最终呼召读者在动荡、试炼或不确定中把信心建立在神自己身上。,主要是柔和安慰、悔改呼召、圣诞节期或轻快赞美的文章。,这首曲子适合强调神为信徒不可摇动的根基。,https://hymnary.org/search?qu=My%20Hope%20Is%20Built%20on%20Nothing%20Less | https://hymntime.com/tch/htm/m/y/h/o/myhopeib.htm,中文《主是磐石》疑似对应 My Hope Is Built / The Solid Rock；需用曲库文件名确认英文题名。
A1-18,基督精兵前进,"Onward, Christian Soldiers",主是磐石 Unshakable Faith,18,,教会争战与使命圣诗，强调基督掌权下的群体前行。,属灵争战；教会使命；基督掌权；坚定前行,雄壮；坚定；行进；得胜,宣教差派；教会使命；属灵争战；公共见证,文章强调教会群体、福音使命、为真理站立、在争战中忠心前行。,安静默想、个人哀伤、细腻牧养安慰、主餐或低声悔改文章。,适合使命和争战主题，气质较强，不宜用于细腻安慰文。,https://hymnary.org/search?qu=Onward%2C%20Christian%20Soldiers | https://hymntime.com/tch/htm/o/n/w/a/onwardcs.htm,参考 Hymnary 检索与 HymnTime/Cyber Hymnal；Sabine Baring-Gould / Arthur Sullivan，教会行进与争战意象。
A1-19,唱哈利路亚,Sing Hallelujah,主是磐石 Unshakable Faith,19,,哈利路亚式赞美圣乐，突出对神救恩与荣耀的欢然颂赞。,赞美；神的荣耀；救恩喜乐；敬拜回应,明亮；喜乐；颂赞；轻快,主日赞美；感恩文章；庆典崇拜；以赞美作结的灵修,文章从神的作为、恩典或盼望走向喜乐赞美和公开颂扬。,悔改忧伤、受难默想、病痛安慰、庄严警醒或主餐肃穆文章。,这首曲子适合喜乐颂赞，不适合承托沉重或内省型文章。,https://hymnary.org/search?qu=Sing%20Hallelujah | https://songselect.ccli.com/search/results?List=Sing%20Hallelujah,题名较泛，未确认唯一标准圣诗条目；需用出版方/曲库文件名复核具体作品。
A1-20,坚固保障,A Mighty Fortress,主是磐石 Unshakable Faith,20,,宗教改革传统的信心与争战圣诗，宣告神是坚固保障。,神是避难所；真理争战；信心坚固；基督得胜,庄严；刚强；得胜；敬畏,宗教改革纪念；真理争战；教会坚固；苦难中站立,文章强调神作避难所、真理受挑战时的站立、属灵争战和信心坚固。,温柔陪伴、个人情感安慰、圣诞叙事、主餐默想或单纯祷告操练文章。,这是一首刚强的信心与争战圣诗，适合真理站立和神作保障的主题。,https://hymnary.org/search?qu=A%20Mighty%20Fortress%20Is%20Our%20God | https://hymntime.com/tch/htm/m/i/g/h/mightyfo.htm,参考 Hymnary 检索与 HymnTime/Cyber Hymnal；Martin Luther 宗教改革传统圣诗，诗篇46篇意象。
A2-01,你是我万有,You Are My All in All,"主啊我赞美你 Lord, I Praise You",1,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,渴慕基督；倚靠主；以主为满足；成圣中的亲近,渴慕；安静；亲近；单纯信靠,灵修默想；祷告回应；退修；门徒生命操练,强调人心对主的渴慕、离开自足、重新以基督为生命满足的文章,主要落点是节期庆典、宏大宣教、公开争战或主餐礼仪的文章,渴慕基督；倚靠主；以主为满足；成圣中的亲近；适合强调人心对主的渴慕、离开自足、重新以基督为生命满足的文章。,https://hymnary.org/search?qu=You%20Are%20My%20All%20in%20All | https://songselect.ccli.com/search/results?List=You%20Are%20My%20All%20in%20All,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A2-02,啊圣哉上主,O Lord Most Holy,"主啊我赞美你 Lord, I Praise You",2,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的圣洁；基督尊荣；敬拜与降卑,庄严；敬畏；崇高；肃穆,主日崇拜；圣洁主题；圣诞敬拜；敬拜引导,强调神的圣洁、基督尊贵、敬拜秩序和人当存敬畏的文章,以个人软弱安慰、日常陪伴或轻柔默想为主的文章,神的圣洁；基督尊荣；敬拜与降卑；适合强调神的圣洁、基督尊贵、敬拜秩序和人当存敬畏的文章。,https://hymnary.org/search?qu=O%20Lord%20Most%20Holy | https://songselect.ccli.com/search/results?List=O%20Lord%20Most%20Holy,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A2-03,向主欢呼,Shout to the Lord,"主啊我赞美你 Lord, I Praise You",3,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,赞美；复活得胜；神的荣耀；救恩欢庆,明亮；喜乐；得胜；颂赞,复活节；主日赞美；感恩回应；庆典崇拜,从神的作为、复活盼望、赞美感恩走向喜乐回应的文章,沉重悔改、受难默想、追思安慰或低声灵修文章,赞美；复活得胜；神的荣耀；救恩欢庆；适合从神的作为、复活盼望、赞美感恩走向喜乐回应的文章。,https://hymnary.org/search?qu=Shout%20to%20the%20Lord | https://songselect.ccli.com/search/results?List=Shout%20to%20the%20Lord,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A2-04,十字架，十字架,Near the Cross,"主啊我赞美你 Lord, I Praise You",4,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,十字架救恩；基督代赎；悔改与敬拜,深沉；敬畏；破碎；十字架默想,受难周；主餐前后；十字架信息；悔改回应,以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章,主要落点是轻快赞美、圣诞叙事、普通生活感恩或宣教动员的文章,十字架救恩；基督代赎；悔改与敬拜；适合以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章。,https://hymnary.org/search?qu=Near%20the%20Cross | https://songselect.ccli.com/search/results?List=Near%20the%20Cross,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A2-05,奇异恩典,Amazing Grace,"主啊我赞美你 Lord, I Praise You",5,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,恩典；罪得赦免；救恩确据；福音见证,感恩；谦卑；安慰；盼望,福音呼召；见证；追思安慰；救恩主题灵修,强调罪人蒙恩、福音改变、神主动施恩和感恩回应的文章,主要强调神圣洁审判、属灵争战或礼仪性主餐默想的文章,恩典；罪得赦免；救恩确据；福音见证；适合强调罪人蒙恩、福音改变、神主动施恩和感恩回应的文章。,https://hymnary.org/search?qu=Amazing%20Grace | https://songselect.ccli.com/search/results?List=Amazing%20Grace,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A2-06,祂活着,He Lives,"主啊我赞美你 Lord, I Praise You",6,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,赞美；复活得胜；神的荣耀；救恩欢庆,明亮；喜乐；得胜；颂赞,复活节；主日赞美；感恩回应；庆典崇拜,从神的作为、复活盼望、赞美感恩走向喜乐回应的文章,沉重悔改、受难默想、追思安慰或低声灵修文章,赞美；复活得胜；神的荣耀；救恩欢庆；适合从神的作为、复活盼望、赞美感恩走向喜乐回应的文章。,https://hymnary.org/search?qu=He%20Lives | https://songselect.ccli.com/search/results?List=He%20Lives,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A2-07,主啊我赞美你,"Lord, I Praise You","主啊我赞美你 Lord, I Praise You",7,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,赞美；复活得胜；神的荣耀；救恩欢庆,明亮；喜乐；得胜；颂赞,复活节；主日赞美；感恩回应；庆典崇拜,从神的作为、复活盼望、赞美感恩走向喜乐回应的文章,沉重悔改、受难默想、追思安慰或低声灵修文章,赞美；复活得胜；神的荣耀；救恩欢庆；适合从神的作为、复活盼望、赞美感恩走向喜乐回应的文章。,https://hymnary.org/search?qu=Lord%2C%20I%20Praise%20You | https://songselect.ccli.com/search/results?List=Lord%2C%20I%20Praise%20You,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A2-08,感恩的泪,Thankful Tears,"主啊我赞美你 Lord, I Praise You",8,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,敬拜；信靠；基督里的生命回应,安静；敬虔；稳重；灵修性,灵修默想；主日回应；文章背景圣乐,神学重心较宽、需要安静承托文章信息的灵修文章,主题非常明确的主餐、圣诞、宣教差派或强烈悔改文章,适合一般灵修默想，但仍需按文章最终落点重新比较。,https://hymnary.org/search?qu=Thankful%20Tears | https://songselect.ccli.com/search/results?List=Thankful%20Tears,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核；题名较泛，需用出版方或音频文件名确认具体作品。
A2-09,最知心的朋友,Best Friend,"主啊我赞美你 Lord, I Praise You",9,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,敬拜；信靠；基督里的生命回应,安静；敬虔；稳重；灵修性,灵修默想；主日回应；文章背景圣乐,神学重心较宽、需要安静承托文章信息的灵修文章,主题非常明确的主餐、圣诞、宣教差派或强烈悔改文章,适合一般灵修默想，但仍需按文章最终落点重新比较。,https://hymnary.org/search?qu=Best%20Friend | https://songselect.ccli.com/search/results?List=Best%20Friend,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核；题名较泛，需用出版方或音频文件名确认具体作品。
A2-10,主耶稣，我爱你,"My Jesus, I Love Thee","主啊我赞美你 Lord, I Praise You",10,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,基督的荣美；爱主回应；敬拜尊崇；基督居首位,敬拜；亲密；庄重；爱慕,主日敬拜；灵修回应；奉献回应；基督论主题信息,强调基督荣美、爱主、敬拜、尊主为大的文章,主要落点是苦难安慰、圣诞叙事、主餐记念或宣教差派的文章,基督的荣美；爱主回应；敬拜尊崇；基督居首位；适合强调基督荣美、爱主、敬拜、尊主为大的文章。,https://hymnary.org/search?qu=My%20Jesus%2C%20I%20Love%20Thee | https://songselect.ccli.com/search/results?List=My%20Jesus%2C%20I%20Love%20Thee,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A2-11,如鹿渴慕溪水,As the Deer,"主啊我赞美你 Lord, I Praise You",11,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,渴慕基督；倚靠主；以主为满足；成圣中的亲近,渴慕；安静；亲近；单纯信靠,灵修默想；祷告回应；退修；门徒生命操练,强调人心对主的渴慕、离开自足、重新以基督为生命满足的文章,主要落点是节期庆典、宏大宣教、公开争战或主餐礼仪的文章,渴慕基督；倚靠主；以主为满足；成圣中的亲近；适合强调人心对主的渴慕、离开自足、重新以基督为生命满足的文章。,https://hymnary.org/search?qu=As%20the%20Deer | https://songselect.ccli.com/search/results?List=As%20the%20Deer,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A2-12,哈利路亚,Alleluia,"主啊我赞美你 Lord, I Praise You",12,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,赞美；复活得胜；神的荣耀；救恩欢庆,明亮；喜乐；得胜；颂赞,复活节；主日赞美；感恩回应；庆典崇拜,从神的作为、复活盼望、赞美感恩走向喜乐回应的文章,沉重悔改、受难默想、追思安慰或低声灵修文章,赞美；复活得胜；神的荣耀；救恩欢庆；适合从神的作为、复活盼望、赞美感恩走向喜乐回应的文章。,https://hymnary.org/search?qu=Alleluia | https://songselect.ccli.com/search/results?List=Alleluia,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A2-13,主祷文,The Lord's Prayer,"主啊我赞美你 Lord, I Praise You",13,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,祷告；倚靠；与主相交；把重担带到主前,安静；亲近；恳切；牧养,祷告会；灵修默想；个人退修；回应祷告,引导读者回到祷告、依靠主、向主倾心吐意的文章,主要落点是宣教差派、复活得胜或庄严审判的文章,祷告；倚靠；与主相交；把重担带到主前；适合引导读者回到祷告、依靠主、向主倾心吐意的文章。,https://hymnary.org/search?qu=The%20Lord's%20Prayer | https://songselect.ccli.com/search/results?List=The%20Lord's%20Prayer,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A3-01,美哉主耶稣,Fairest Lord Jesus,十字架的故事 Story of the Cross,1,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,基督的荣美；爱主回应；敬拜尊崇；基督居首位,敬拜；亲密；庄重；爱慕,主日敬拜；灵修回应；奉献回应；基督论主题信息,强调基督荣美、爱主、敬拜、尊主为大的文章,主要落点是苦难安慰、圣诞叙事、主餐记念或宣教差派的文章,基督的荣美；爱主回应；敬拜尊崇；基督居首位；适合强调基督荣美、爱主、敬拜、尊主为大的文章。,https://hymnary.org/search?qu=Fairest%20Lord%20Jesus | https://songselect.ccli.com/search/results?List=Fairest%20Lord%20Jesus,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A3-02,荣耀与颂赞,Glory and Praise Medley,十字架的故事 Story of the Cross,2,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,赞美；复活得胜；神的荣耀；救恩欢庆,明亮；喜乐；得胜；颂赞,复活节；主日赞美；感恩回应；庆典崇拜,从神的作为、复活盼望、赞美感恩走向喜乐回应的文章,沉重悔改、受难默想、追思安慰或低声灵修文章,赞美；复活得胜；神的荣耀；救恩欢庆；适合从神的作为、复活盼望、赞美感恩走向喜乐回应的文章。,https://hymnary.org/search?qu=Glory%20and%20Praise%20Medley | https://songselect.ccli.com/search/results?List=Glory%20and%20Praise%20Medley,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；组曲/合并曲目需分别核对各组成圣诗；题名较泛，需用出版方或音频文件名确认具体作品。
A3-03,主十架下/古旧十架,Beneath the Cross/Old Rugged Cross,十字架的故事 Story of the Cross,3,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,十字架救恩；基督代赎；悔改与敬拜,深沉；敬畏；破碎；十字架默想,受难周；主餐前后；十字架信息；悔改回应,以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章,主要落点是轻快赞美、圣诞叙事、普通生活感恩或宣教动员的文章,十字架救恩；基督代赎；悔改与敬拜；适合以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章。,https://hymnary.org/search?qu=Beneath%20the%20Cross%2FOld%20Rugged%20Cross | https://songselect.ccli.com/search/results?List=Beneath%20the%20Cross%2FOld%20Rugged%20Cross,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；组曲/合并曲目需分别核对各组成圣诗。
